No ;Continent ;River ;Average discharge (m3/s) ;Outflow ;Length (km) ;Length (miles) ;Drainage area (km2) 
52;Asia ;Aldan ;5489;Lena River ;2273;1412;729000
1;South America ;Amazon ;209000;Atlantic Ocean ;6400;3976;7050000
108;Asia ;Amu Darya ;2525;Aral Sea ;2400;1491;534739
24;Asia ;Amur ;11400;Sea of Okhotsk ;4352;2714;1855000
61;Asia ;Angara ;4530;Yenisey River ;1779;1100;1079000
68;South America ;Apaporis ;3900;Japurá River ;1370;847;54300
125;South America ;Apure ;2300;Orinoco River ;1038;645;121400
45;South America ;Araguaia ;6216;Tocantins River ;2627;1632;358125
78;South America ;Aripuan? ;3400;Madeira River ;870;540;145000
142;Africa ;Aruwimi ;2000;Congo River ;1030;808;116100
106;South America ;Atrato ;2569;Atlantic Ocean ;750;466;36231
51;Asia ;Barito ;5500;Java Sea ;880;544;100000
85;South America ;Beni ;3000;Madre de Dios River ;1100;680;
120;Africa ;Benue ;2400;Niger River ;1370;847;
9;Asia ;Brahmaputra ;19800;Padma River ;2900;1802;712035
53;South America ;Branco ;5400;Rio Negro ;775;479;195000
10;South America ;Caquetá/Japurá ;18620;Amazon River ;2036;1265;267730
57;South America ;Caroní ;4850;Orinoco River ;952;595;95000
122;South America ;Cauca ;2364;Magdalena River ;1180;730;59840
86;South America ;Caura ;3000;Orinoco River ;723;449;52000
65;Asia ;Chindwin ;4000;Ayeyarwady River ;1207;750;114000
36;North America ;Columbia ;7500;Pacific Ocean ;2000;1243;668000
2;Africa ;Congo ;41200;Atlantic Ocean ;4370;2716;4014500
40;Europe ;Danube ;7130;Black Sea ;2860;1777;817000
54;North America ;Detroit ;5324;Lake Erie ;51;32;1813[dubious – discuss] 
135;South America ;Essequibo ;2104;Atlantic Ocean ;1014;627;69300
47;Oceania ;Fly ;6000;Gulf of Papua Coral Sea ;1050;649;76000
75;North America ;Fraser ;3475;Pacific Ocean ;1375;854;220000
138;Asia ;Gandaki ;2025;Ganga River ;814;506;46300
16;Asia ;Ganga at Farakka Barrage ;16648;Padma River ;2282;1418;907000
3;Asia ;Ganga/Padma ;38129;Bay of Bengal ;2704;1680;1731334
87;Asia ;Ghaghara ;2990;Ganga River ;1080;671;127950
73;Asia ;Godavari ;3505;Bay of Bengal ;1465;910;312812
7;South America ;Guainía/Negro ;28400;Amazon River ;2230;1390;691000
99;South America ;Guapore ;2740;Mamoré River ;1260;783;235000
33;South America ;Guaviare ;8200;Orinoco River ;1497;930;140000
129;Asia ;Han ;2156;Yangtze River ;1532;952;174300
137;Asia ;Hongshui ;2049;Xi River ;669.6 ;416.1 ;97250
74;South America ;Huallaga ;3500;Mara?ón ;1138;704;85000
41;Asia ;Indus ;6930;Arabian Sea ;3200;2000;1165000
140;South America ;Inírida ;2000;Guaviare River ;1300;804;
98;South America ;Iriri ;2745;Xingu River ;1300;810;130000
19;Asia ;Irrawaddy ;15112;Andaman Sea ;2210;1370;411000
88;Asia ;Irtysh ;2980;Ob River ;4248;2627;1673470
115;South America ;Javari ;2463;Amazon River ;1184;732;90000
132;Asia ;Jialing ;2120;Yangtze River ;1119;695;160000
31;South America ;Juruá ;8420;Amazon River ;2410;1498;225828
62;South America ;Juruena ;4360;Tapajos River ;1240;770;190391
84;South America ;Jutai ;3000;Amazon River ;1200;742;60000
76;Asia ;Kaladan ;3468;Bay of Bengal ;450;278;
63;Asia ;Kama ;4100;Volga River ;1805;1122;507000
46;Asia ;Kapuas ;6000;South China Sea ;1143;710;98749
26;Africa ;Kasai ;9873;Congo River ;2272;1405;881890
81;Asia ;Khatanga ;3320;Khatanga Gulf Laptev Sea ;1636;1012;364000
82;Oceania ;Kikori ;3274;Gulf of Papua ;405;250;23309
96;North America ;Koksoak ;2800;Ungava Bay Arctic Ocean ;137;85;133400
70;Asia ;Kolyma ;3800;East Siberian Sea ;2129;1317;644000
112;Asia ;Koshi ;2500;Ganga River ;729;453;69300
127;Asia ;Krishna River ;2213;Bay of Bengal ;1400;870;258948
101;Africa ;Kwango ;2700;Kasai River ;1100;680;263500
18;Asia ;Lena ;15500;Laptev Sea ;4294;2668;2490000
118;North America ;Liard ;2434;Mackenzie River ;1115;693;277100
25;North America ;Mackenzie ;9910;Beaufort Sea ;1738;1080;1790000
5;South America ;Madeira ;31200;Amazon River ;1450;900;1420000
27;South America ;Madre de Dios ;9825;Madeira River ;1347;837;303000
38;South America ;Magdalena ;7200;Atlantic Ocean ;1540;963;257438
111;Asia ;Mahakam ;2500;Makassar Strait ;980;609;77100
133;Asia ;Mahanadi ;2119;Bay of Bengal ;858;533;141600
59;Oceania ;Mamberamo ;4580;Pacific Ocean ;1175;727;79774
39;South America ;Mamoré ;7162;Madeira River ;1930;1199;470000
15;South America ;Mara?ón ;16708;Amazon River ;1737;1079;358000
17;Asia ;Mekong ;16000;South China Sea ;4023;2500;811000
42;South America ;Meta ;6500;Orinoco River ;1200;742;93800
67;Asia ;Min River (Sichuan) ;3915;Yangtze River ;735;457;
14;North America ;Mississippi ;16792;Gulf of Mexico ;3730;2320;3202230
117;North America ;Missouri ;2445;Mississippi River ;3767;2341;1371010
44;South America ;Napo ;6300;Amazon River ;1075;665;100518
121;North America ;Nelson ;2370;Hudson Bay ;2575;1600;982900
116;Europe ;Neva ;2445;Baltic Sea ;74;46;281000
48;North America ;Niagara ;5796;Lake Ontario ;58;36;684000
49;Africa ;Niger ;5589;Atlantic Ocean ;4167;2589;2090000
93;Africa ;Nile ;2830;Mediterranean Sea ;6853;4258;3400000
71;Asia ;Nizhnyaya Tunguska ;3680;Yenisei River ;2989;1848;473000
80;Asia ;Northern Dvina ;3332;White Sea ;744;462;357052
23;Asia ;Ob ;12475;Gulf of Ob ;3700;2299;2990000
58;Africa ;Ogooué River ;4706;Atlantic Ocean ;1200;747;86431
35;North America ;Ohio ;7957;Mississippi River[note 1] ;1579;981;490601
4;South America ;Orinoco ;37000;Atlantic Ocean ;2250;1398;880000
102;South America ;Paraguay ;2700;Parana River ;2621;1629;365592
12;South America ;Paraná ;17290;Río de la Plata Atlantic Ocean ;4880;3050;2582672
83;South America ;Parnaíba ;3200;Atlantic Ocean ;1070;662;220000
97;South America ;Pastaza ;2770;Mara?ón River ;740;458;41000
134;North America ;Peace ;2110;Slave River ;1923;1195;306000
29;Asia ;Pearl ;9500;South China Sea ;2400;1491;453700
60;Europe ;Pechora ;4533;Barents Sea ;1809;1124;289532
32;South America ;Purus ;8400;Amazon River;3211;1995;371042
30;South America ;Putumayo/Içá ;8760;Amazon River ;1813;1121;148000
107;Asia ;Pyasina ;2550;Kara Sea ;818;508;182000
103;Asia ;Red ;2640;Gulf of Tonkin ;1149;714;143700
91;Europe ;Rhine ;2900;North Sea ;1233;820;198735
8;South America ;Río de la Plata ;22000;Atlantic Ocean ;290;180;3100000
119;South America ;Rio Grande ;2400;Paraná River ;1360;841;143000
95;Africa ;Ruki ;2800;Congo River ;1300;804;173800
13;North America ;Saint Lawrence ;16800;Gulf of Saint Lawrence ;3058;1900;1030000
56;Asia ;Salween ;4978;Andaman Sea ;2815;1749;320000
136;South America ;San Juan ;2055;Pacific Ocean ;380;240;15000
113;Africa ;Sangha ;2471;Congo River ;790;489;213400
109;Africa ;Sankuru ;2500;Kasai River ;1200;756;156000
90;South America ;S?o Francisco ;2943;Atlantic Ocean ;2830;1758;641000
69;Oceania ;Sepik ;3804;Bismarck Sea ;1126;700;80321
77;North America ;Slave ;3414;Great Slave Lake ;434;270;616400
114;Asia ;Songhua ;2463;Amur River ;1434;887;557180
55;North America ;St. Clair ;5200;Lake St. Clair ;63;39;576000
131;North America ;St. Marys ;2135;Lake Huron ;120;75;127700
94;South America ;Tambo ;2800;Ucayali River ;1000;618;135000
21;South America ;Tapajos ;13540;Amazon River ;840;520;492481
66;South America ;Teles Pires ;3978;Tapajos River ;1638;1013;141718
110;South America ;Tiet? ;2500;Paraná River ;1150;715;150000
100;South America ;Tigre ;2700;Mara?ón River ;940;581;54200
20;South America ;Tocantins ;13600;Atlantic Ocean ;2699;1677;920000
92;South America ;Trombetas ;2855;Amazon River ;1060;656;135239
64;Africa ;Ubangi ;4000;Congo River ;2272;1405;772800
22;South America ;Ucayali ;13500;Amazon River ;2670;1659;337519
72;Asia ;Upper Meghna ;3600;Lower Meghna River ;1040;643;82000
124;South America ;Urubamba ;2330;Ucayali River ;724;448;60300
50;South America ;Uruguay ;5500;Atlantic Ocean Río de la Plata ;1838;1140;365000
104;South America ;Vaupés/Uaupes ;2625;Rio Negro ;1050;649;50000
